Žaidėjas,Data,Laikas,Lygis,Turnyras,Rezultatas,Oponentas
Ayziq : Matches,2021-12-05,14:00 UTC,A1S-Tier,eChampions League 2022 - Qualifier West,2 : 3,AdRXx
Ayziq : Matches,2018-01-20,21:00 UTC,A2A-Tier,eLigue 1 Winter 2018 - Xbox One,0 : 1,Rafsou
Ayziq : Matches,2018-01-20,16:00 UTC,A2A-Tier,eLigue 1 Winter 2018 - Xbox One,3 : 0,Juliiianoooo
Ayziq : Matches,2018-01-20,15:00 UTC,A2A-Tier,eLigue 1 Winter 2018 - Xbox One,6 : 2,Allezrennes56
Ayziq : Matches,2018-01-20,12:00 UTC,A2A-Tier,eLigue 1 Winter 2018 - Xbox One,5 : 2,Mino
Ayziq : Matches,2017-11-03,16:15 UTC,A3B-Tier,ESWC - PGW 2017 : Group Stage,0 : 2,RocKy
Ayziq : Matches,2017-11-03,15:30 UTC,A3B-Tier,ESWC - PGW 2017 : Group Stage, : ,Aero
Ayziq : Matches,2017-11-03,14:45 UTC,A3B-Tier,ESWC - PGW 2017 : Group Stage,5 : 0,Mikey
Ayziq : Matches,2017-11-03,14:00 UTC,A3B-Tier,ESWC - PGW 2017 : Group Stage,0 : 1,skyperss
Ayziq : Matches,2017-09-10,22:00 UTC,A4C-Tier,EGO European Cup,2 : 1,Ulquiorra
Ayziq : Matches,2017-09-10,21:00 UTC,A4C-Tier,EGO European Cup,9 : 1,OM7Lucas
Ayziq : Matches,2017-09-10,20:00 UTC,A4C-Tier,EGO European Cup,5 : 1,Emperatoor
Ayziq : Matches,2017-09-10,19:00 UTC,A4C-Tier,EGO European Cup,3 : 2,djin
Ayziq : Matches,2016-06-04,14:00 UTC,A3B-Tier,EA Sports FC - Finale Nationale 2016: Playoffs,0 : 2,Wiss
Ayziq : Matches,2016-06-04,13:00 UTC,A3B-Tier,EA Sports FC - Finale Nationale 2016: Group Stage,4 : 1,TPRZ
Ayziq : Matches,2016-06-04,12:00 UTC,A3B-Tier,EA Sports FC - Finale Nationale 2016: Group Stage,3 : 2,Dandan
Ayziq : Matches,2016-06-04,11:00 UTC,A3B-Tier,EA Sports FC - Finale Nationale 2016: Group Stage,2 : 3,Rondo
Ayziq : Matches,2016-05-27,18:45 UTC,A3B-Tier,E-Football League: Group Stage,0 : 3,Ulquiorra
Ayziq : Matches,2016-05-20,18:45 UTC,A3B-Tier,E-Football League: Group Stage,2 : 3,Maniika
Ayziq : Matches,2016-05-13,18:45 UTC,A3B-Tier,E-Football League: Group Stage,3 : 1,Anthox
Ayziq : Matches,2016-05-13,18:45 UTC,A3B-Tier,E-Football League: Group Stage,2 : 1,RocKy
Ayziq : Matches,2016-05-06,18:45 UTC,A3B-Tier,E-Football League: Group Stage,3 : 0,Tristan
Ayziq : Matches,2016-04-29,18:45 UTC,A3B-Tier,E-Football League: Group Stage,3 : 2,Vicente
Ayziq : Matches,2016-04-22,18:45 UTC,A3B-Tier,E-Football League: Group Stage,2 : 0,Alexher
Ayziq : Matches,2016-04-15,18:45 UTC,A3B-Tier,E-Football League: Group Stage, : ,Zacdu69
Ayziq : Matches,2016-04-08,18:45 UTC,A3B-Tier,E-Football League: Group Stage,2 : 0,Juliianooo
Ayziq : Matches,2016-04-01,18:45 UTC,A3B-Tier,E-Football League: Group Stage,0 : 1,Fleaz
Ayziq : Matches,2016-03-26,14:00 UTC,A4C-Tier,Gamers Assembly 2016,2 : 3,neyo67
Ayziq : Matches,2016-03-18,19:45 UTC,A3B-Tier,E-Football League: Group Stage,0 : 3,Nkempf
Ayziq : Matches,2016-03-11,19:45 UTC,A3B-Tier,E-Football League: Group Stage, : ,Vinch
Ayziq : Matches,2016-03-04,19:45 UTC,A3B-Tier,E-Football League: Group Stage,0 : 4,Usmakabyle
Ayziq : Matches,2016-02-26,19:45 UTC,A3B-Tier,E-Football League: Group Stage, : ,Nino7
Ayziq : Matches,2016-02-19,19:45 UTC,A3B-Tier,E-Football League: Group Stage,0 : 2,Sneaky
Ayziq : Matches,2016-02-12,19:45 UTC,A3B-Tier,E-Football League: Group Stage, : ,Emiboost
Ayziq : Matches,2016-02-06,19:45 UTC,A3B-Tier,E-Football League: Group Stage,5 : 2,Krymoss
Ayziq : Matches,2016-01-29,19:45 UTC,A3B-Tier,E-Football League: Group Stage,2 : 0,Aomine
Ayziq : Matches,2016-01-22,19:45 UTC,A3B-Tier,E-Football League: Group Stage, : ,Brian
Ayziq : Matches,2015-06-14,18:00 UTC,A3B-Tier,Gfinity Play Like a Legend - Season 2,1 : 2,Brian
Ayziq : Matches,2015-05-30,17:00 UTC,A3B-Tier,EA Sports FC - Finale Nationale 2015: Playoffs,1 : 0,Anthox
Ayziq : Matches,2015-05-30,16:00 UTC,A3B-Tier,EA Sports FC - Finale Nationale 2015: Playoffs,2 : 0,Rafsou
Ayziq : Matches,2015-05-30,15:00 UTC,A3B-Tier,EA Sports FC - Finale Nationale 2015: Playoffs,2 : 0,Sykoz
Ayziq : Matches,2015-05-30,14:00 UTC,A3B-Tier,EA Sports FC - Finale Nationale 2015: Playoffs,2 : 0,Corninho13
Ayziq : Matches,2015-05-30,13:00 UTC,A3B-Tier,EA Sports FC - Finale Nationale 2015: Group Stage,1 : 0,Juncko69
Ayziq : Matches,2015-05-30,12:00 UTC,A3B-Tier,EA Sports FC - Finale Nationale 2015: Group Stage,1 : 0,Herozia
Ayziq : Matches,2015-05-30,11:00 UTC,A3B-Tier,EA Sports FC - Finale Nationale 2015: Group Stage,3 : 2,Spank
Ayziq : Matches,2015-04-05,17:00 UTC,A4C-Tier,Gamers Assembly 2015,2 : 1,Anthox
Ayziq : Matches,2015-04-05,15:00 UTC,A4C-Tier,Gamers Assembly 2015,2 : 0,Nuka
Ayziq : Matches,2015-04-05,14:00 UTC,A4C-Tier,Gamers Assembly 2015,2 : 0,Roazhon
Ayziq : Matches,0000-01-01,,A3B-Tier,EGO Brussels Cup,2 : 3,Mence
DivineCS7 : Matches,2024-11-01,19:30 UTC,A1S-Tier,FC Pro 25 Open - Global Qualifier: Group Stage,2 : 3,Luca-nr1
DivineCS7 : Matches,2024-11-01,18:30 UTC,A1S-Tier,FC Pro 25 Open - Global Qualifier: Group Stage,3 : 0,Young
DivineCS7 : Matches,2024-11-01,17:30 UTC,A1S-Tier,FC Pro 25 Open - Global Qualifier: Group Stage,1 : 8,levyfinn
DivineCS7 : Matches,2024-11-01,16:00 UTC,A1S-Tier,FC Pro 25 Open - Global Qualifier: Group Stage,3 : 6,GuiBarros
DivineCS7 : Matches,2024-10-13,19:00 UTC,A1S-Tier,FC Pro 25 Open - Regional Qualifier: LatAm North,6 : 4,CRACKHEBER
DivineCS7 : Matches,2024-10-13,18:00 UTC,A1S-Tier,FC Pro 25 Open - Regional Qualifier: LatAm North,7 : 4,Chevisan
DivineCS7 : Matches,2024-06-16,07:00 UTC,A2A-Tier,DreamHack Summer 2024 - Q4,1 : 2,albertovk1999
DivineCS7 : Matches,2024-06-15,20:00 UTC,A2A-Tier,DreamHack Summer 2024 - Q4,5 : 3,MoAuba
DivineCS7 : Matches,2024-06-15,19:00 UTC,A2A-Tier,DreamHack Summer 2024 - Q4,2 : 1,Hoegh
DivineCS7 : Matches,2024-06-15,18:00 UTC,A2A-Tier,DreamHack Summer 2024 - Q4,4 : 1,Figu7rinho
DivineCS7 : Matches,2024-06-15,17:00 UTC,A2A-Tier,DreamHack Summer 2024 - Q4,4 : 5,Jannes315
DivineCS7 : Matches,2024-02-25,19:00 UTC,A4C-Tier,eLigue 1 Tour 2024 - North America,3 : 5,hussienwaleed
DivineCS7 : Matches,2024-02-25,18:00 UTC,A4C-Tier,eLigue 1 Tour 2024 - North America,2 : 0,Izecsoon
DivineCS7 : Matches,2023-12-17,20:00 UTC,A2A-Tier,FC Pro 24 Open - Regional Cups December: LatAm North,4 : 8,ltrazx
DivineCS7 : Matches,2023-12-17,19:00 UTC,A2A-Tier,FC Pro 24 Open - Regional Cups December: LatAm North,12 : 6,Gustavinho
DivineCS7 : Matches,2023-12-17,18:00 UTC,A2A-Tier,FC Pro 24 Open - Regional Cups December: LatAm North,8 : 2,Voncita
DivineCS7 : Matches,2023-10-15,21:00 UTC,A1S-Tier,FC Pro 24 Open - Regional Qualifiers: LatAm North,5 : 9,ProdigiousLeol8l
DivineCS7 : Matches,2023-10-15,19:00 UTC,A1S-Tier,FC Pro 24 Open - Regional Qualifiers: LatAm North,5 : 6,Albertss
DivineCS7 : Matches,2023-10-15,18:00 UTC,A1S-Tier,FC Pro 24 Open - Regional Qualifiers: LatAm North,6 : 5,EdsonEZ11
DivineCS7 : Matches,2023-10-15,17:00 UTC,A1S-Tier,FC Pro 24 Open - Regional Qualifiers: LatAm North,4 : 2,VBryan
DivineCS7 : Matches,2023-07-30,02:15 UTC,A3B-Tier,Super eLiga MX 2023 - Group Stage,4 : 3,rowdyPitRamos
DivineCS7 : Matches,2023-07-30,00:45 UTC,A3B-Tier,Super eLiga MX 2023 - Group Stage,6 : 1,PHARM
DivineCS7 : Matches,2023-07-20,02:30 UTC,A3B-Tier,Super eLiga MX 2023 - Group Stage,2 : 0,Jostin
DivineCS7 : Matches,2023-07-19,02:30 UTC,A3B-Tier,Super eLiga MX 2023 - Group Stage,4 : 3,ProdigiousLeol8l
DivineCS7 : Matches,2023-07-13,03:00 UTC,A3B-Tier,Super eLiga MX 2023 - Group Stage,3 : 0,Henry
DivineCS7 : Matches,2023-07-12,03:00 UTC,A3B-Tier,Super eLiga MX 2023 - Group Stage,0 : 3,Papachacon
DivineCS7 : Matches,2023-07-12,02:00 UTC,A3B-Tier,Super eLiga MX 2023 - Group Stage, : ,JonyChiva
DivineCS7 : Matches,2023-07-07,03:00 UTC,A3B-Tier,Super eLiga MX 2023 - Group Stage, : ,rowdyPitRamos
DivineCS7 : Matches,2023-07-07,02:00 UTC,A3B-Tier,Super eLiga MX 2023 - Group Stage, : ,Apoloaang
DivineCS7 : Matches,2023-07-06,03:00 UTC,A3B-Tier,Super eLiga MX 2023 - Group Stage,0 : 3,JonyBisteck
DivineCS7 : Matches,2023-07-06,02:00 UTC,A3B-Tier,Super eLiga MX 2023 - Group Stage,0 : 3,RoninAdrian
DivineCS7 : Matches,2023-07-05,03:00 UTC,A3B-Tier,Super eLiga MX 2023 - Group Stage,3 : 0,Miasanmia
DivineCS7 : Matches,2023-07-05,02:00 UTC,A3B-Tier,Super eLiga MX 2023 - Group Stage, : ,Stargus
DivineCS7 : Matches,2023-06-30,03:00 UTC,A3B-Tier,Super eLiga MX 2023 - Group Stage,3 : 0,Milinco
DivineCS7 : Matches,2023-06-30,02:00 UTC,A3B-Tier,Super eLiga MX 2023 - Group Stage,3 : 0,Izecsoon
DivineCS7 : Matches,2023-06-29,03:00 UTC,A3B-Tier,Super eLiga MX 2023 - Group Stage,4 : 1,Xeno
DivineCS7 : Matches,2023-06-29,02:00 UTC,A3B-Tier,Super eLiga MX 2023 - Group Stage,0 : 4,PHARM
DivineCS7 : Matches,2023-06-28,03:00 UTC,A3B-Tier,Super eLiga MX 2023 - Group Stage,3 : 0,JJSOSA
DivineCS7 : Matches,2023-05-27,23:30 UTC,A1S-Tier,FIFA 23 Global Series - Latin America North Play-ins,1 : 7,Brechex
DivineCS7 : Matches,2023-05-27,23:00 UTC,A1S-Tier,FIFA 23 Global Series - Latin America North Play-ins,4 : 1,arielmc92
DivineCS7 : Matches,2023-05-27,22:00 UTC,A1S-Tier,FIFA 23 Global Series - Latin America North Play-ins,7 : 2,Xeno
DivineCS7 : Matches,2023-05-27,21:00 UTC,A1S-Tier,FIFA 23 Global Series - Latin America North Play-ins,7 : 1,Kiketo
DivineCS7 : Matches,2023-05-27,20:00 UTC,A1S-Tier,FIFA 23 Global Series - Latin America North Play-ins,3 : 1,SantyNavasR
DivineCS7 : Matches,2023-05-27,19:00 UTC,A1S-Tier,FIFA 23 Global Series - Latin America North Play-ins,1 : 2,ProdigiousLeol8l
DivineCS7 : Matches,2023-04-29,23:00 UTC,A1S-Tier,FIFA 23 Global Series - LatAm North Qualifier #4,5 : 9,Albertss
DivineCS7 : Matches,2023-04-29,22:00 UTC,A1S-Tier,FIFA 23 Global Series - LatAm North Qualifier #4,1 : 5,arielmc92
DivineCS7 : Matches,2023-04-29,21:00 UTC,A1S-Tier,FIFA 23 Global Series - LatAm North Qualifier #4,3 : 2,CRACKHEBER
DivineCS7 : Matches,2023-04-29,20:00 UTC,A1S-Tier,FIFA 23 Global Series - LatAm North Qualifier #4,2 : 6,LuisRayado98
DivineCS7 : Matches,2023-04-29,19:00 UTC,A1S-Tier,FIFA 23 Global Series - LatAm North Qualifier #4,8 : 6,VBryan
DivineCS7 : Matches,2023-03-19,22:00 UTC,A1S-Tier,FIFA 23 Global Series - LatAm North Qualifier #3,5 : 4,PHARM
DivineCS7 : Matches,2023-03-19,21:00 UTC,A1S-Tier,FIFA 23 Global Series - LatAm North Qualifier #3,1 : 1,Xeno-10-
DivineCS7 : Matches,2023-03-19,20:00 UTC,A1S-Tier,FIFA 23 Global Series - LatAm North Qualifier #3,4 : 1,Apoloaang
DivineCS7 : Matches,2023-03-19,19:00 UTC,A1S-Tier,FIFA 23 Global Series - LatAm North Qualifier #3,2 : 1,Arielmc92
DivineCS7 : Matches,2023-03-18,23:00 UTC,A1S-Tier,FIFA 23 Global Series - LatAm North Qualifier #3,6 : 5,Xeno
DivineCS7 : Matches,2023-03-18,22:00 UTC,A1S-Tier,FIFA 23 Global Series - LatAm North Qualifier #3,6 : 4,Apolaang
DivineCS7 : Matches,2023-03-18,20:00 UTC,A1S-Tier,FIFA 23 Global Series - LatAm North Qualifier #3,2 : 5,Blastyck
DivineCS7 : Matches,2023-03-11,16:00 UTC,A4C-Tier,eLigue 1 Tour 2023 - Latin America,0 : 4,Fifenzo
DivineCS7 : Matches,2023-02-19,20:30 UTC,A1S-Tier,FIFA 23 Global Series - LatAm North Qualifier #2,2 : 9,Blastyck
DivineCS7 : Matches,2023-02-19,19:30 UTC,A1S-Tier,FIFA 23 Global Series - LatAm North Qualifier #2,3 : 0,Milinco
DivineCS7 : Matches,2023-02-19,18:30 UTC,A1S-Tier,FIFA 23 Global Series - LatAm North Qualifier #2,3 : 2,Ospina16
DivineCS7 : Matches,2023-02-18,23:00 UTC,A1S-Tier,FIFA 23 Global Series - LatAm North Qualifier #2,3 : 4,SCS_Anllelowi
DivineCS7 : Matches,2023-02-18,22:00 UTC,A1S-Tier,FIFA 23 Global Series - LatAm North Qualifier #2,8 : 3,Brechex
DivineCS7 : Matches,2023-02-18,21:00 UTC,A1S-Tier,FIFA 23 Global Series - LatAm North Qualifier #2,5 : 0,arielmc92
DivineCS7 : Matches,2023-02-18,19:00 UTC,A1S-Tier,FIFA 23 Global Series - LatAm North Qualifier #2,9 : 4,Jostin
DivineCS7 : Matches,2023-02-18,18:00 UTC,A1S-Tier,FIFA 23 Global Series - LatAm North Qualifier #2,6 : 1,ivantigre96
DivineCS7 : Matches,2023-02-18,17:00 UTC,A1S-Tier,FIFA 23 Global Series - LatAm North Qualifier #2,5 : 3,VBryan
DivineCS7 : Matches,2023-01-08,18:30 UTC,A1S-Tier,FIFA 23 Global Series - LatAm North Qualifier #1,4 : 6,Brechex
DivineCS7 : Matches,2023-01-07,22:00 UTC,A1S-Tier,FIFA 23 Global Series - LatAm North Qualifier #1,6 : 4,JJSOSA
DivineCS7 : Matches,2023-01-07,21:00 UTC,A1S-Tier,FIFA 23 Global Series - LatAm North Qualifier #1,7 : 3,Brechex
DivineCS7 : Matches,2023-01-07,19:00 UTC,A1S-Tier,FIFA 23 Global Series - LatAm North Qualifier #1,6 : 5,SebasGarcia
DivineCS7 : Matches,2023-01-07,18:00 UTC,A1S-Tier,FIFA 23 Global Series - LatAm North Qualifier #1,4 : 5,SantyNavasR
DivineCS7 : Matches,2022-06-11,00:30 UTC,A2A-Tier,FIFAe Club Series 2022 - Central America & the Carribean: Playoffs,2 : 3,CRACKHEBER
DivineCS7 : Matches,2022-06-10,23:30 UTC,A2A-Tier,FIFAe Club Series 2022 - Central America & the Carribean: Playoffs,3 : 0,Beto19Avila
DivineCS7 : Matches,2022-06-10,22:30 UTC,A2A-Tier,FIFAe Club Series 2022 - Central America & the Carribean: Playoffs,2 : 3,CRACKHEBER
DivineCS7 : Matches,2022-05-24,,A1S-Tier,FIFA 22 Global Series - LatAm North Qualifier #4,1 : 5,Yidan
DivineCS7 : Matches,2022-04-17,,A1S-Tier,FIFA 22 Global Series - LatAm North Qualifier #3,4 : 5,ProdigiousLeol8l
DivineCS7 : Matches,2021-04-10,,A2A-Tier,FIFA 21 Global Series - Xbox One: North America Qualifier #4,2 : 3,mata7g
DivineCS7 : Matches,2021-03-28,,A2A-Tier,FIFA 21 Global Series - Xbox One: North America Qualifier #4,5 : 4,Henry
DivineCS7 : Matches,2021-03-28,,A2A-Tier,FIFA 21 Global Series - Xbox One: North America Qualifier #4,2 : 3,LuisRayado98
DivineCS7 : Matches,0000-01-01,,A2A-Tier,FUT 20 Champions Cup Stage I - Xbox One: NA Qualifier,5 : 6,Joey
DivineCS7 : Matches,0000-01-01,,A2A-Tier,FUT 20 Champions Cup Stage I - Xbox One: NA Qualifier,4 : 5,Squirrel
DivineCS7 : Matches,0000-01-01,,A2A-Tier,FUT 20 Champions Cup Stage II - Xbox One: NA Qualifier,2 : 6,Joey
Blachu : Matches,2024-06-14,20:30 UTC,A2A-Tier,DreamHack Summer 2024 - Q2,1 : 2,YuvalBeli
Blachu : Matches,2024-06-14,19:45 UTC,A2A-Tier,DreamHack Summer 2024 - Q2,3 : 2,Adida
Blachu : Matches,2024-06-14,19:00 UTC,A2A-Tier,DreamHack Summer 2024 - Q2,3 : 7,Msdossary
Blachu : Matches,2024-06-14,18:00 UTC,A2A-Tier,DreamHack Summer 2024 - Q2,5 : 2,Yagi
Blachu : Matches,2024-04-28,13:30 UTC,A3B-Tier,Ekstraklasa Games 2024 - Finals: Playoffs,2 : 4,Dewidek
Blachu : Matches,2024-04-27,16:00 UTC,A3B-Tier,Ekstraklasa Games 2024 - Finals: Group Stage,2 : 1,Furman
Blachu : Matches,2024-04-27,15:30 UTC,A3B-Tier,Ekstraklasa Games 2024 - Finals: Group Stage, : ,Neerven
Blachu : Matches,2024-04-27,14:30 UTC,A3B-Tier,Ekstraklasa Games 2024 - Finals: Group Stage,5 : 4,Majkel
Blachu : Matches,2024-04-27,14:00 UTC,A3B-Tier,Ekstraklasa Games 2024 - Finals: Group Stage,1 : 6,Zalewskyy
Blachu : Matches,2024-04-27,13:30 UTC,A3B-Tier,Ekstraklasa Games 2024 - Finals: Group Stage, : ,NeuRo
Blachu : Matches,2024-03-17,13:00 UTC,A2A-Tier,UEFA eEuro 2024 - Qualifier,3 : 0,Devi_TheRock
Blachu : Matches,2024-03-17,11:00 UTC,A2A-Tier,UEFA eEuro 2024 - Qualifier,2 : 3,Obrun2002
Blachu : Matches,2024-03-16,14:00 UTC,A2A-Tier,UEFA eEuro 2024 - Qualifier,5 : 6,xfabinhoo
Blachu : Matches,2024-03-16,13:00 UTC,A2A-Tier,UEFA eEuro 2024 - Qualifier,8 : 1,MKotnic
Blachu : Matches,2024-03-16,12:00 UTC,A2A-Tier,UEFA eEuro 2024 - Qualifier,7 : 4,Zinotox
Blachu : Matches,2024-03-16,11:00 UTC,A2A-Tier,UEFA eEuro 2024 - Qualifier,2 : 5,brandsha
Blachu : Matches,2023-12-27,,A5D-Tier,Blacki Cup #27,1 : 2,Samugamer_07
Blachu : Matches,2023-11-24,12:00 UTC,A3B-Tier,FPF Christmas Challenge 2023,3 : 4,RastaArtur
Blachu : Matches,2023-11-24,11:00 UTC,A3B-Tier,FPF Christmas Challenge 2023,3 : 2,rikhard11
Blachu : Matches,2023-10-21,14:00 UTC,A1S-Tier,FC Pro 24 Open - Regional Qualifiers: Europe East,9 : 4,Seron
Blachu : Matches,2023-10-21,11:00 UTC,A1S-Tier,FC Pro 24 Open - Regional Qualifiers: Europe East,1 : 3,Guarnieri
Blachu : Matches,2023-06-13,12:00 UTC,A1S-Tier,FIFA 23 Global Series - Europe Play-ins: Group Stage,3 : 3,XampL
Blachu : Matches,2023-06-13,11:00 UTC,A1S-Tier,FIFA 23 Global Series - Europe Play-ins: Group Stage,5 : 8,Rodrigol
Blachu : Matches,2023-06-13,10:00 UTC,A1S-Tier,FIFA 23 Global Series - Europe Play-ins: Group Stage,5 : 6,Chaser
Blachu : Matches,2023-05-28,13:30 UTC,A1S-Tier,FIFA 23 Global Series - Europe Qualifier #5,5 : 8,Jonny
Blachu : Matches,2023-05-28,11:00 UTC,A1S-Tier,FIFA 23 Global Series - Europe Qualifier #5,3 : 5,Tekkz
Blachu : Matches,2023-05-27,17:00 UTC,A1S-Tier,FIFA 23 Global Series - Europe Qualifier #5,7 : 6,bernasfigue5
Blachu : Matches,2023-05-27,14:00 UTC,A1S-Tier,FIFA 23 Global Series - Europe Qualifier #5,4 : 1,MMayo
Blachu : Matches,2023-04-02,14:30 UTC,A3B-Tier,Ekstraklasa Games 2023,3 : 5,Riptorek
Blachu : Matches,2023-04-02,13:30 UTC,A3B-Tier,Ekstraklasa Games 2023,4 : 5,Riptorek
Blachu : Matches,2023-04-02,11:30 UTC,A3B-Tier,Ekstraklasa Games 2023,3 : 1,Riptorek
Blachu : Matches,2023-04-02,08:30 UTC,A3B-Tier,Ekstraklasa Games 2023,5 : 4,damie
Blachu : Matches,2023-04-01,,A3B-Tier,Ekstraklasa Games 2023,4 : 2,Tomek601
Blachu : Matches,2023-04-01,,A3B-Tier,Ekstraklasa Games 2023,7 : 6,milosz93
Blachu : Matches,2023-03-18,15:00 UTC,A1S-Tier,FIFA 23 Global Series - Europe Qualifier #3,4 : 3,Blazek
Blachu : Matches,2023-03-18,11:30 UTC,A1S-Tier,FIFA 23 Global Series - Europe Qualifier #3,8 : 5,kossu72
Blachu : Matches,2023-03-18,10:00 UTC,A1S-Tier,FIFA 23 Global Series - Europe Qualifier #3,1 : 7,Talha
Blachu : Matches,2023-03-15,21:00 UTC,A5D-Tier,Showgoon Cup #1,2 : 3,Conkai
Blachu : Matches,2023-03-08,19:30 UTC,A3B-Tier,Ekstraklasa Games 2023 - Pro Regular Season,1 : 0,bejott
Blachu : Matches,2023-03-08,19:00 UTC,A3B-Tier,Ekstraklasa Games 2023 - Pro Regular Season, : ,bejott
Blachu : Matches,2023-03-07,19:30 UTC,A3B-Tier,Ekstraklasa Games 2023 - Pro Regular Season,2 : 0,Polako
Blachu : Matches,2023-03-07,19:00 UTC,A3B-Tier,Ekstraklasa Games 2023 - Pro Regular Season,2 : 1,Polako
Blachu : Matches,2023-03-01,19:30 UTC,A3B-Tier,Ekstraklasa Games 2023 - Pro Regular Season,2 : 1,Przemek96HM
Blachu : Matches,2023-03-01,19:00 UTC,A3B-Tier,Ekstraklasa Games 2023 - Pro Regular Season,6 : 2,Przemek96HM
Blachu : Matches,2023-02-28,19:30 UTC,A3B-Tier,Ekstraklasa Games 2023 - Pro Regular Season,2 : 1,BoGyyS
Blachu : Matches,2023-02-28,19:00 UTC,A3B-Tier,Ekstraklasa Games 2023 - Pro Regular Season,2 : 1,BoGyyS
Blachu : Matches,2023-02-22,19:00 UTC,A3B-Tier,Ekstraklasa Games 2023 - Pro Regular Season,2 : 3,damie
Blachu : Matches,2023-02-22,19:00 UTC,A3B-Tier,Ekstraklasa Games 2023 - Pro Regular Season, : ,damie
Blachu : Matches,2023-02-21,19:30 UTC,A3B-Tier,Ekstraklasa Games 2023 - Pro Regular Season,4 : 1,kamil06
Blachu : Matches,2023-02-21,19:00 UTC,A3B-Tier,Ekstraklasa Games 2023 - Pro Regular Season,3 : 1,kamil06
Blachu : Matches,2023-02-15,19:30 UTC,A3B-Tier,Ekstraklasa Games 2023 - Pro Regular Season,3 : 2,Aza182
Blachu : Matches,2023-02-15,19:00 UTC,A3B-Tier,Ekstraklasa Games 2023 - Pro Regular Season,4 : 1,Aza182
Blachu : Matches,2023-02-14,19:30 UTC,A3B-Tier,Ekstraklasa Games 2023 - Pro Regular Season,1 : 0,Furman
Blachu : Matches,2023-02-14,19:00 UTC,A3B-Tier,Ekstraklasa Games 2023 - Pro Regular Season, : ,Furman
Blachu : Matches,2023-02-11,16:00 UTC,A1S-Tier,FIFA 23 Global Series - Europe Qualifier #2,5 : 6,EnolPerales
Blachu : Matches,2023-02-11,13:00 UTC,A1S-Tier,FIFA 23 Global Series - Europe Qualifier #2,5 : 6,gianluca_m17
Blachu : Matches,2023-02-08,19:30 UTC,A3B-Tier,Ekstraklasa Games 2023 - Pro Regular Season,5 : 2,TheGameSimon
Blachu : Matches,2023-02-08,19:00 UTC,A3B-Tier,Ekstraklasa Games 2023 - Pro Regular Season,0 : 2,TheGameSimon
Blachu : Matches,2023-02-07,19:30 UTC,A3B-Tier,Ekstraklasa Games 2023 - Pro Regular Season, : ,Zalewskyy
Blachu : Matches,2023-02-07,19:00 UTC,A3B-Tier,Ekstraklasa Games 2023 - Pro Regular Season, : ,Zalewskyy
Blachu : Matches,2023-02-01,19:30 UTC,A3B-Tier,Ekstraklasa Games 2023 - Pro Regular Season, : ,Riptorek
Blachu : Matches,2023-02-01,19:00 UTC,A3B-Tier,Ekstraklasa Games 2023 - Pro Regular Season,0 : 2,Riptorek
Blachu : Matches,2023-01-25,19:30 UTC,A3B-Tier,Ekstraklasa Games 2023 - Pro Regular Season,3 : 4,Dewidek
Blachu : Matches,2023-01-25,19:00 UTC,A3B-Tier,Ekstraklasa Games 2023 - Pro Regular Season,3 : 1,Dewidek
Blachu : Matches,2023-01-24,19:30 UTC,A3B-Tier,Ekstraklasa Games 2023 - Pro Regular Season,4 : 1,jancio
Blachu : Matches,2023-01-24,19:00 UTC,A3B-Tier,Ekstraklasa Games 2023 - Pro Regular Season,0 : 1,jancio
Blachu : Matches,2023-01-18,19:30 UTC,A3B-Tier,Ekstraklasa Games 2023 - Pro Regular Season,3 : 2,Kay0r
Blachu : Matches,2023-01-18,19:00 UTC,A3B-Tier,Ekstraklasa Games 2023 - Pro Regular Season,5 : 0,Kay0r
Blachu : Matches,2023-01-17,19:30 UTC,A3B-Tier,Ekstraklasa Games 2023 - Pro Regular Season,4 : 2,ADK
Blachu : Matches,2023-01-17,19:00 UTC,A3B-Tier,Ekstraklasa Games 2023 - Pro Regular Season, : ,ADK
Blachu : Matches,2023-01-11,19:30 UTC,A3B-Tier,Ekstraklasa Games 2023 - Pro Regular Season,4 : 2,Roberto
Blachu : Matches,2023-01-11,19:00 UTC,A3B-Tier,Ekstraklasa Games 2023 - Pro Regular Season,3 : 1,Roberto
Blachu : Matches,2023-01-10,19:30 UTC,A3B-Tier,Ekstraklasa Games 2023 - Pro Regular Season,2 : 1,PanNey
Blachu : Matches,2023-01-10,19:00 UTC,A3B-Tier,Ekstraklasa Games 2023 - Pro Regular Season,7 : 2,PanNey
Blachu : Matches,2023-01-08,10:00 UTC,A1S-Tier,FIFA 23 Global Series - Europe Qualifier #1,2 : 4,levyfinn
Blachu : Matches,2023-01-07,17:00 UTC,A1S-Tier,FIFA 23 Global Series - Europe Qualifier #1,1 : 4,HARTIXEL
Blachu : Matches,2023-01-07,14:00 UTC,A1S-Tier,FIFA 23 Global Series - Europe Qualifier #1,4 : 3,Er_Caccia98
Blachu : Matches,2023-01-07,13:00 UTC,A1S-Tier,FIFA 23 Global Series - Europe Qualifier #1,4 : 6,DullenMIKE
Blachu : Matches,2023-01-07,11:30 UTC,A1S-Tier,FIFA 23 Global Series - Europe Qualifier #1,6 : 5,TiagoAraujo10
Blachu : Matches,2023-01-04,19:30 UTC,A3B-Tier,Ekstraklasa Games 2023 - Pro Regular Season,5 : 1,Bartas
